Sweep   Hamiltonian      Acceptance      Rejection      PolyakovLoop
    1      0.000000      1.000000      0.000000      0.937192
    2      0.000000      2.000000      0.000000      0.945313
    3      0.000000      3.000000      0.000000      0.955367
    4      0.000000      4.000000      0.000000      0.975639
    5      0.000000      5.000000      0.000000      0.949540
    6      0.000000      6.000000      0.000000      0.950955
    7      0.000000      7.000000      0.000000      0.970136
    8      0.000000      8.000000      0.000000      0.958883
    9      0.000000      9.000000      0.000000      0.975644
   10      0.000000     10.000000      0.000000      0.964036
   11      0.000000     11.000000      0.000000      0.975305
   12      0.000000     12.000000      0.000000      0.971192
   13      0.000000     13.000000      0.000000      0.954032
   14      0.000000     14.000000      0.000000      0.944788
   15      0.000000     15.000000      0.000000      0.956736
   16      0.000000     16.000000      0.000000      0.946907
   17      0.000000     17.000000      0.000000      0.979605
   18      0.000000     18.000000      0.000000      0.947226
   19      0.000000     19.000000      0.000000      0.967956
   20      0.000000     20.000000      0.000000      0.981253
   21      0.000000     21.000000      0.000000      0.962595
   22      0.000001     22.000000      0.000000      0.934759
   23      0.000001     23.000000      0.000000      0.977916
   24      0.000001     24.000000      0.000000      0.961891
   25      0.000001     25.000000      0.000000      0.953920
   26      0.000002     26.000000      0.000000      0.969153
   27      0.000003     27.000000      0.000000      0.960861
   28      0.000004     28.000000      0.000000      0.974640
   29      0.000005     29.000000      0.000000      0.959441
   30      0.000007     30.000000      0.000000      0.972276
   31      0.000010     31.000000      0.000000      0.973106
   32      0.000014     32.000000      0.000000      0.961716
   33      0.000019     33.000000      0.000000      0.949570
   34      0.000026     34.000000      0.000000      0.939510
   35      0.000037     35.000000      0.000000      0.958237
   36      0.000051     36.000000      0.000000      0.965710
   37      0.000073     37.000000      0.000000      0.949985
   38      0.000102     38.000000      0.000000      0.959378
   39      0.000143     39.000000      0.000000      0.942483
   40      0.000202     40.000000      0.000000      0.967023
   41      0.000285     41.000000      0.000000      0.946658
   42      0.000401     42.000000      0.000000      0.974242
   43      0.000563     43.000000      0.000000      0.976775
   44      0.000798     44.000000      0.000000      0.960743
   45      0.001121     45.000000      0.000000      0.958049
   46      0.001587     46.000000      0.000000      0.962598
   47      0.002241     47.000000      0.000000      0.951973
   48      0.003182     48.000000      0.000000      0.954915
   49      0.004486     49.000000      0.000000      0.972103
   50      0.006385     50.000000      0.000000      0.955523
   51      0.008979     51.000000      0.000000      0.973080
   52      0.012808     52.000000      0.000000      0.972260
   53      0.018069     53.000000      0.000000      0.966294
   54      0.025622     54.000000      0.000000      0.958944
   55      0.036375     55.000000      0.000000      0.974338
   56      0.051806     55.000000      1.000000      0.974338
   57      0.051247     56.000000      1.000000      0.962274
   58      0.073342     57.000000      1.000000      0.968603
   59      0.104413     58.000000      1.000000      0.964555
   60      0.148527     59.000000      1.000000      0.969297
   61      0.209414     60.000000      1.000000      0.941600
   62      0.301148     60.000000      2.000000      0.941600
   63      0.298286     60.000000      3.000000      0.941600
   64      0.301506     60.000000      4.000000      0.941600
   65      0.298123     60.000000      5.000000      0.941600
   66      0.295800     60.000000      6.000000      0.941600
   67      0.299300     61.000000      6.000000      0.956132
   68      0.421796     61.000000      7.000000      0.956132
   69      0.423429     62.000000      7.000000      0.963041
   70      0.601426     63.000000      7.000000      0.980794
   71      0.850158     63.000000      8.000000      0.980794
   72      0.854871     64.000000      8.000000      0.964636
   73      1.216204     64.000000      9.000000      0.964636
   74      1.214044     65.000000      9.000000      0.983876
   75      1.734058     66.000000      9.000000      0.979563
   76      2.471592     66.000000     10.000000      0.979563
   77      2.453723     66.000000     11.000000      0.979563
   78      2.469629     67.000000     11.000000      0.958878
   79      3.493395     68.000000     11.000000      0.975388
   80      4.998458     68.000000     12.000000      0.975388
   81      4.945383     69.000000     12.000000      0.942128
   82      7.113892     69.000000     13.000000      0.942128
   83      7.045395     70.000000     13.000000      0.955704
   84     10.060524     71.000000     13.000000      0.972007
   85     14.336340     72.000000     13.000000      0.968242
   86     20.226213     72.000000     14.000000      0.968242
   87     20.399479     73.000000     14.000000      0.987084
   88     28.894718     74.000000     14.000000      0.958641
   89     41.195653     74.000000     15.000000      0.958641
   90     41.371513     75.000000     15.000000      0.951312
   91     58.497916     76.000000     15.000000      0.969016
   92     83.381983     77.000000     15.000000      0.964533
   93    118.332582     77.000000     16.000000      0.964533
   94    118.701382     77.000000     17.000000      0.964533
   95    119.043059     77.000000     18.000000      0.964533
   96    118.056702     77.000000     19.000000      0.964533
   97    117.958130     78.000000     19.000000      0.969251
   98    167.642233     78.000000     20.000000      0.969251
   99    167.205195     78.000000     21.000000      0.969251
  100    168.113766     78.000000     22.000000      0.969251
